,aa_000,ag_001,ag_002,ag_003,ag_004,ag_005,ah_000,ai_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,ay_001,ay_002,ay_003,ay_004,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_005,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bt_000,bu_000,bv_000,bx_000,by_000,cc_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_007,cn_008,cn_009,cq_000,cs_001,cs_002,cs_003,cs_004,cs_005,cx_000,dd_000,df_000,dn_000,dq_000,eb_000,ec_00,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007
390,1.0,0.0,0.0,0.0,0.006622516556291397,0.788235294117647,1.0,0.14925373134328357,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2546583850931677,0.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,1.0,0.5510204081632653,0.6776315789473684,0.4965986394557823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050632911392405056,1.0,1.0,0.7357142857142857,0.061068702290076333,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.5063291139240507,1.0,0.0,1.0,0.2164179104477612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
394,1.0,1.0,1.0,1.0,1.0,0.3941176470588235,1.0,0.47014925373134325,1.0,1.0,1.0,1.0,1.0,1.0,0.3214285714285714,0.0,0.0,0.0,0.0,0.7168674698795181,0.763975155279503,0.0,0.09929078014184398,0.1388888888888889,0.072992700729927,0.49112426035502954,0.9137931034482758,0.3828571428571429,0.4853801169590643,0.4252873563218391,0.4,0.3103448275862069,0.22485207100591714,0.3082191780821918,1.0,1.0,1.0,0.7894736842105263,0.2925170068027211,0.0,1.0,1.0,0.7337278106508875,1.0,1.0,1.0,1.0,1.0,0.5195530726256984,1.0,1.0,1.0,1.0,0.06382978723404256,0.432258064516129,1.0,1.0,0.9999999999999999,0.46835443037974683,0.2670454545454546,1.0,1.0,0.26717557251908397,1.0,0.08641975308641975,0.5723684210526315,1.0,0.2012987012987013,0.3651685393258427,1.0,1.0,0.0,1.0,0.2164179104477612,0.07594936708860758,0.1675977653631285,1.0,0.27710843373493976,0.3920454545454546,0.35795454545454547,0.39772727272727276,0.9011627906976745,0.5868263473053892,0.12499999999999999
413,0.21229050279329612,0.0,0.2537313432835821,0.5845070422535211,1.0,1.0,1.0,0.06716417910447761,1.0,1.0,1.0,0.5573770491803278,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04819277108433734,0.9999999999999999,1.0,0.6099290780141844,0.18055555555555555,0.0656934306569343,0.21893491124260356,1.0,0.7542857142857142,0.3157894736842105,0.27011494252873564,0.14285714285714288,0.10919540229885058,0.07100591715976332,0.02054794520547945,0.007092198581560294,1.0,1.0,1.0,0.346938775510204,0.0069444444444444475,1.0,1.0,1.0,1.0,0.21229050279329612,1.0,1.0,1.0,0.446927374301676,1.0,0.5333333333333333,1.0,0.9644970414201184,0.014184397163120574,1.0,0.15151515151515152,0.4710144927536232,0.9999999999999999,1.0,1.0,0.6666666666666667,0.55,0.007633587786259541,1.0,0.9999999999999999,1.0,1.0,0.7142857142857143,0.6910112359550562,0.36075949367088606,1.0,1.0,1.0,0.0,0.056962025316455694,1.0,1.0,1.0,0.3125,0.15909090909090912,0.1306818181818182,0.15697674418604654,0.46107784431137727,0.0
484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42537313432835816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8447204968944099,0.0,1.0,1.0,1.0,0.7988165680473374,1.0,0.56,0.7719298245614035,0.8563218390804597,0.937142857142857,0.764367816091954,0.47928994082840237,0.595890410958904,1.0,1.0,0.7619047619047619,1.0,0.8027210884353742,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.888268156424581,1.0,1.0,0.0,1.0,0.6808510638297872,1.0,1.0,1.0,0.9178082191780821,0.6139240506329113,0.75,1.0,1.0,0.13740458015267176,1.0,0.1728395061728395,0.7763157894736842,1.0,0.2597402597402597,0.6797752808988764,1.0,1.0,0.0,1.0,0.26119402985074625,0.4810126582278481,0.38547486033519557,1.0,0.6325301204819277,0.7727272727272727,0.7272727272727273,0.6193181818181819,1.0,0.7964071856287426,0.3684210526315789
593,0.9720670391061453,0.0,0.0,0.11971830985915492,0.5695364238410596,0.3941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214285714285714,0.0,0.0,0.0,0.0,0.06626506024096385,0.7391304347826086,0.0,0.15602836879432624,0.1527777777777778,0.058394160583941604,0.07692307692307693,0.27011494252873564,0.4285714285714286,0.22807017543859648,0.27586206896551724,0.26285714285714284,0.20689655172413793,0.1301775147928994,0.3150684931506849,0.16312056737588654,0.0,0.4149659863945578,0.05921052631578946,0.4081632653061224,0.0625,0.0,0.0,0.0,0.0,0.9720670391061453,0.0,0.0,0.297752808988764,0.3743016759776537,0.3089887640449438,0.8833333333333333,0.09352517985611511,1.0,0.028368794326241148,0.535483870967742,0.0,0.03623188405797102,0.6438356164383561,0.46202531645569617,0.3068181818181819,0.020408163265306117,0.007142857142857145,0.0,0.0,0.14814814814814814,0.2894736842105263,0.20238095238095238,0.15584415584415584,0.38202247191011235,0.4810126582278481,0.9053254437869822,0.0,0.0,0.208955223880597,0.9683544303797469,0.30726256983240224,0.31927710843373497,0.16265060240963855,0.17613636363636365,0.12500000000000003,0.14772727272727276,0.31976744186046513,0.6407185628742516,0.29605263157894735
649,1.0,0.08396946564885496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.5116279069767442,0.6453900709219859,0.9166666666666666,0.4233576642335767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.7551020408163265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.007194244604316544,1.0,0.20567375886524825,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8507462686567164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
708,1.0,0.0,0.0,0.0,0.013245033112582794,1.0,1.0,0.8805970149253731,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.363013698630137,0.007092198581560294,1.0,0.17006802721088432,0.28289473684210525,0.23809523809523808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28481012658227844,1.0,0.8231292517006803,0.2357142857142857,0.007633587786259541,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7763157894736842
749,0.8603351955307263,0.0,0.417910447761194,1.0,1.0,1.0,1.0,0.3656716417910448,0.5602836879432624,0.624113475177305,1.0,1.0,1.0,1.0,0.3214285714285714,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,0.950354609929078,1.0,1.0,1.0,1.0,1.0,0.8304093567251462,0.9310344827586208,1.0,0.8908045977011494,0.6331360946745561,0.8287671232876711,1.0,1.0,0.91156462585034,0.5723684210526315,1.0,0.6180555555555556,1.0,1.0,0.7810650887573964,1.0,0.8603351955307263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46808510638297873,1.0,0.07575757575757576,0.6521739130434783,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.7901234567901234,1.0,1.0,0.6493506493506493,1.0,1.0,1.0,1.0,1.0,0.0,0.4240506329113924,1.0,1.0,1.0,1.0,0.9602272727272728,0.7386363636363638,1.0,0.7245508982035929,0.30263157894736836
771,1.0,0.0,0.0,0.0,0.06622516556291391,0.8058823529411765,1.0,0.00746268656716418,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11445783132530121,0.9565217391304347,0.0,0.056737588652482275,0.1111111111111111,0.058394160583941604,0.6331360946745561,0.5287356321839081,0.3371428571428572,0.28654970760233917,0.2988505747126437,0.2742857142857143,0.20689655172413793,0.14792899408284022,0.22602739726027396,0.7943262411347518,1.0,1.0,1.0,0.2857142857142857,0.020833333333333343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34078212290502796,1.0,1.0,1.0,1.0,0.014184397163120574,0.4258064516129032,0.0,0.0,0.0,0.12658227848101267,0.6022727272727273,0.7346938775510203,0.39999999999999997,0.007633587786259541,1.0,0.1111111111111111,0.9013157894736842,0.3392857142857143,0.09740259740259741,0.38202247191011235,0.740506329113924,0.33727810650887574,0.0,1.0,0.0,0.9240506329113924,0.17877094972067042,0.5421686746987951,0.27710843373493976,0.4943181818181819,0.34090909090909094,0.3522727272727273,0.7906976744186046,0.06586826347305388,0.006578947368421045
802,1.0,0.0,0.0,0.0,0.02649006622516556,0.41764705882352937,1.0,0.05970149253731343,0.028368794326241148,0.03546099290780143,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9759036144578314,0.2608695652173913,0.0,0.2907801418439716,0.21527777777777776,0.0875912408759124,1.0,0.25287356321839083,0.7085714285714286,0.49707602339181284,0.8735632183908046,1.0,1.0,1.0,0.7123287671232876,0.007092198581560294,1.0,0.06122448979591835,0.11184210526315788,0.11564625850340135,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.696629213483146,1.0,0.747191011235955,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12658227848101267,0.5,0.27210884353741494,0.1142857142857143,0.015267175572519083,1.0,0.7592592592592592,0.18421052631578946,0.875,1.0,0.28089887640449435,0.0,1.0,0.0,1.0,0.11940298507462686,1.0,1.0,0.28313253012048195,0.6506024096385542,1.0,1.0,0.8465909090909092,0.627906976744186,0.5748502994011977,0.24999999999999997
812,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.04255319148936171,0.0921985815602837,1.0,1.0,1.0,1.0,0.0,0.0,0.007692307692307693,0.022900763358778626,0.022900763358778626,1.0,0.0496894409937888,0.0,0.5815602836879432,0.45138888888888884,0.2116788321167883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9251700680272108,0.15789473684210525,0.3401360544217687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0684931506849315,1.0,1.0,1.0,1.0,0.09923664122137404,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41916167664670656,0.09868421052631578
830,1.0,0.030534351145038167,0.40298507462686567,1.0,1.0,0.9058823529411765,1.0,1.0,1.0,1.0,1.0,0.639344262295082,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9156626506024097,0.7888198757763975,0.0,0.056737588652482275,0.04166666666666667,0.021897810218978096,1.0,0.6781609195402298,0.49714285714285716,0.8011695906432748,0.896551724137931,0.7942857142857143,0.603448275862069,0.3668639053254438,0.5342465753424657,1.0,1.0,0.9319727891156462,1.0,0.9319727891156462,0.04166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8659217877094972,1.0,1.0,0.0,1.0,0.0,0.09032258064516129,0.24242424242424243,0.21014492753623187,0.45205479452054786,0.47468354430379744,0.5965909090909092,1.0,1.0,1.0,1.0,0.24074074074074073,1.0,0.23214285714285715,0.2142857142857143,0.9213483146067416,0.34177215189873417,1.0,0.0,1.0,0.3134328358208955,1.0,0.3296089385474861,0.6987951807228916,0.3313253012048193,0.5397727272727273,0.4488636363636364,0.5113636363636365,0.7383720930232558,1.0,0.6118421052631579
870,1.0,0.0,0.0,0.0,0.013245033112582794,1.0,1.0,0.8805970149253731,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.363013698630137,0.007092198581560294,1.0,0.17006802721088432,0.28289473684210525,0.23809523809523808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.28481012658227844,1.0,0.8231292517006803,0.2357142857142857,0.007633587786259541,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7763157894736842
895,0.16201117318435757,0.10687022900763359,1.0,1.0,0.3112582781456954,0.011764705882352927,0.19230769230769235,0.08955223880597014,0.7588652482269503,0.8014184397163121,0.16939890710382513,0.19672131147540983,0.22023809523809523,0.20348837209302328,0.6428571428571428,0.0,0.0,0.0,0.0,0.1506024096385542,0.4347826086956521,0.9534883720930233,0.5319148936170213,0.45138888888888884,0.16058394160583941,0.22485207100591714,0.10344827586206898,0.4285714285714286,0.19883040935672514,0.23563218390804597,0.2342857142857143,0.1839080459770115,0.1242603550295858,0.4726027397260274,0.2907801418439716,0.21666666666666667,0.020408163265306117,0.06578947368421051,0.054421768707482984,0.0,0.19230769230769235,0.24000000000000002,0.11242603550295857,0.2883435582822086,0.16201117318435757,0.21666666666666667,0.21666666666666667,0.23033707865168537,0.2737430167597766,0.24157303370786515,0.17777777777777778,0.49640287769784175,0.1893491124260355,0.10638297872340426,0.4516129032258065,0.37878787878787884,1.0,0.9999999999999999,0.13924050632911392,0.011363636363636409,0.0,0.0,0.0,0.21666666666666667,0.04938271604938271,0.26973684210526316,0.5654761904761905,0.2272727272727273,0.18539325842696627,0.03164556962025317,0.17751479289940827,0.0,0.3216374269005848,0.0,0.3481012658227848,0.07821229050279332,0.37349397590361444,0.14457831325301207,0.27272727272727276,0.3125,0.27272727272727276,0.20348837209302328,0.09580838323353291,0.019736842105263136
922,1.0,0.0,0.0,0.007042253521126751,0.2251655629139073,1.0,1.0,0.022388059701492536,0.028368794326241148,0.03546099290780143,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,0.9408284023668638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7876712328767123,0.03546099290780143,1.0,0.8095238095238095,0.6447368421052632,0.06802721088435373,0.048611111111111105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13013698630136986,1.0,1.0,0.7210884353741496,0.22142857142857142,0.007633587786259541,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.31645569620253167,1.0,0.0,1.0,0.835820895522388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1104,1.0,0.0,0.0,0.007042253521126751,0.2781456953642384,1.0,1.0,0.3805970149253731,0.014184397163120574,0.021276595744680854,1.0,1.0,1.0,1.0,0.0,0.0,0.06153846153846154,0.1297709923664122,0.17557251908396945,1.0,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5328947368421052,0.18367346938775508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0684931506849315,1.0,1.0,0.48299319727891155,0.22142857142857142,0.007633587786259541,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875
